feat_id,feat_name,model_feat_imp_train,feat_rank_train,feat_description
1,team_count_50runs_last15,15.038235951805484,1,Ratio of number of 50s by players in team1 to number of 50s by players in team2 in last 15 games
2,team_avg_bowling_economy_last15,7.198810884393958,2,average
3,team_avg_runs_last15,6.783233229561591,3,average
4,team_avg_strike_rate_last15,5.086892994765938,4,average
5,lighting_effectiveness_ratio,4.671147210110811,5,average
6,team_avg_total_boundaries_last15,4.002892538573687,6,average
7,team_winp_last5,2.8727689910668937,7,Ratio of team1's win % to team2's win % in last 5 games
8,team_avg_win_wickets_ratio,1.895771883867942,8,average
9,team_avg_win_runs_ratio,1.6655428406853268,9,average
10,runs_ratio_last_5,1.4811655356814644,10,average
